"","GENEID","Repeats_Count"
"1","ENSG00000182985",87
"2","ENSG00000151136",97
"3","ENSG00000238045",6
"4","ENSG00000262814",3
"5","ENSG00000227619",12
"6","ENSG00000164062",1
"7","ENSG00000235142",37
"8","ENSG00000116194",6
"9","ENSG00000077380",20
